Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Lending category,Other groups,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AUT,,,Austria,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
AZE,,,Azerbaijan,,,,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BHR,,,Bahrain,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,,,Bangladesh,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BLR,,,Belarus,,,,,Belarus,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BEL,,,Belgium,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,Belize,,,,,Belize,,,,,,,,,,,,,,,,,,,,,,
